Attribute_level,frequency
Eliminate&UseAllOther,0.26
Eliminate&UseRenewables,0.24
Reduce&IncreaseAllOther,0.26
Reduce&IncreaseRenewables,0.25
EnergyAccess,0.26
InsureWorkers,0.22
LowPrices,0.28
NothingSoc,0.24
IdentityCoalRegions,0.26
IndustryCoalRegions,0.25
NothingEco,0.25
WorkersCoalRegion,0.24
Gov&Businesses,0.17
Gov&CivilSociety,0.15
Gov&LaborUnions,0.15
Gov&LocalGov,0.18
Gov&Researchers,0.16
GovAlone,0.18
Fin&TechSupport,0.24
FinSupportOnly,0.24
NoInterference,0.23
TechSupportOnly,0.28
MinorEfforts,0.31
ModerateEfforts,0.34
SignificantEffort,0.35
